Date;Time;lat;lon;id 
15/11/2025;18:00:31;75.183219;-75.458950;157
16/11/2025;06:01:56;75.188973;-75.481306;158
17/11/2025;06:01:36;75.226803;-75.507654;159
17/11/2025;12:02:52;75.234848;-75.465389;160
18/11/2025;06:01:01;75.228282;-75.409613;161
18/11/2025;12:00:34;75.226445;-75.427693;162
18/11/2025;18:00:31;75.218163;-75.420230;163
19/11/2025;00:00:31;75.223891;-75.435923;164
19/11/2025;06:00:31;75.222016;-75.385792;165
19/11/2025;12:00:32;75.214381;-75.342714;166
19/11/2025;18:00:31;75.207002;-75.303942;167
20/11/2025;00:00:31;75.182163;-75.322586;168
20/11/2025;06:00:31;75.122227;-75.268621;169
20/11/2025;12:00:31;75.050355;-75.284672;170
20/11/2025;18:00:32;75.003706;-75.003706;171
21/11/2025;00:00:31;74.948762;-75.317024;172
21/11/2025;06:00:50;74.916608;-75.361830;173
21/11/2025;12:00:31;74.857664;-75.306918;174
21/11/2025;18:00:31;74.830086;-75.229402;175
22/11/2025;00:00:31;74.801248;-75.088550;176
22/11/2025;06:00:31;74.792832;-74.946086;177
22/11/2025;12:00:31;74.756096;-74.832954;178
22/11/2025;18:00:31;74.741677;-74.808730;179
23/11/2025;00:00:31;74.724301;-74.731456;180
23/11/2025;06:00:31;74.723770;-74.716992;181
23/11/2025;12:00:31;74.705594;-74.646989;182
23/11/2025;18:00:31;74.707098;-74.684173;183
24/11/2025;00:00:31;74.700000;-74.697587;184
24/11/2025;06:00:31;74.702803;-74.739213;185
24/11/2025;12:00:31;74.665421;-74.714227;186
24/11/2025;18:00:31;74.626144;-74.772512;187
25/11/2025;00:00:31;74.569805;-74.783078;188
25/11/2025;06:00:31;74.516083;-74.730605;189
25/11/2025;12:00:31;74.456595;-74.566995;190
25/11/2025;18:00:31;74.418234;-74.496013;191
26/11/2025;00:00:31;74.345280;-74.317184;192
26/11/2025;06:00:31;74.298246;-74.181325;193
26/11/2025;12:00:31;74.263014;-73.954054;194
26/11/2025;18:00:31;74.239360;-73.791750;195
27/11/2025;00:00:31;74.223328;-73.643206;196
27/11/2025;06:00:31;74.197651;-73.503731;197
